-------- Algorithme de Bellman --------
 CC    0     1     2     3     4     5     6     7   
 k=0  inf   inf   inf   inf   0(4)  inf   inf   inf  
 k=1  3(4)  inf   inf   inf   0(4)  inf   inf   inf  
 k=2  3(4)  8(0)  inf   inf   0(4)  inf   inf   inf  
 k=3  3(4)  8(0)  8(1)  inf   0(1)  9(1)  inf   inf  
 k=4  3(4)  8(0)  8(1)  inf   0(5)  9(1)  9(5)  inf  
 k=5  3(4)  8(0)  8(1)  inf   0(5)  9(1)  9(5)  13(6)
 k=6  3(4)  8(0)  8(1)  14(7) 0(1)  9(1)  9(5)  13(6)
 k=7  3(4)  8(0)  8(1)  14(7) 0(1)  9(1)  9(5)  13(6)
