-------- Algorithme de Bellman --------
 CC    0     1     2     3     4     5     6     7   
 k=0  0(0)  inf   inf   inf   inf   inf   inf   inf  
 k=1  0(0)  4(0)  inf   inf   0(0)  inf   inf   inf  
 k=2  0(0)  2(4)  inf   8(1)  0(0)  4(4)  inf   inf  
 k=3  0(0)  2(4)  inf   6(1)  0(0)  2(1)  6(5)  inf  
 k=4  0(0)  2(4)  7(6)  6(1)  0(0)  2(3)  4(3)  6(6) 
 k=5  0(0)  2(4)  6(7)  6(1)  0(0)  2(3)  4(5)  6(2) 
 k=6  0(0)  2(4)  6(6)  6(1)  0(0)  2(3)  4(5)  6(6) 
 k=7  0(0)  2(4)  6(7)  6(1)  0(0)  2(3)  4(5)  6(2) 
 k=8  0(0)  2(4)  6(7)  6(1)  0(0)  2(3)  4(5)  6(2) 
